User Id,Username,Name,Avtar Template,Moderator,Trust Level
7,Arbitrum,System,/user_avatar/forum.arbitrum.foundation/arbitrum/{size}/2693_2.png,True,4
12914,HMX,,/user_avatar/forum.arbitrum.foundation/hmx/{size}/3769_2.png,False,1
6319,Matt_StableLab,Matt,/user_avatar/forum.arbitrum.foundation/matt_stablelab/{size}/921_2.png,False,3
12710,SEEDGov,SEED Latam Arbitrum,/user_avatar/forum.arbitrum.foundation/seedgov/{size}/3543_2.png,False,2
15147,arbitrumfan,arb,https://avatars.discourse-cdn.com/v4/letter/a/f07891/{size}.png,False,1
13129,shutsuwei,Shu Tsu Wei,/user_avatar/forum.arbitrum.foundation/shutsuwei/{size}/4159_2.png,False,2
14836,Ov3rkoalafied,,https://avatars.discourse-cdn.com/v4/letter/o/ecccb3/{size}.png,False,0
7373,Camelot,,/user_avatar/forum.arbitrum.foundation/camelot/{size}/1922_2.png,False,2
15033,futurenomics,,https://avatars.discourse-cdn.com/v4/letter/f/a698b9/{size}.png,False,1
11975,JoJo,,/user_avatar/forum.arbitrum.foundation/jojo/{size}/2666_2.png,False,2
12444,WINRProtocol,WINR Protocol,/user_avatar/forum.arbitrum.foundation/winrprotocol/{size}/3507_2.png,False,1
13905,Immutablelawyer,Joseph,/user_avatar/forum.arbitrum.foundation/immutablelawyer/{size}/5157_2.png,False,2
14671,DoDAO,DoDAO,/user_avatar/forum.arbitrum.foundation/dodao/{size}/6306_2.png,False,1
14371,pfedprog,Pavel,/user_avatar/forum.arbitrum.foundation/pfedprog/{size}/5712_2.png,False,2
7486,dk3,DK from Premia,/user_avatar/forum.arbitrum.foundation/dk3/{size}/4808_2.png,False,2
15187,farfel.eth,,/user_avatar/forum.arbitrum.foundation/farfel.eth/{size}/7756_2.png,False,1
15068,cavalier,,https://avatars.discourse-cdn.com/v4/letter/c/97f17d/{size}.png,False,0
13137,moses,Moses,/user_avatar/forum.arbitrum.foundation/moses/{size}/4135_2.png,False,1
15023,AlistorZimon,Alistor,/user_avatar/forum.arbitrum.foundation/alistorzimon/{size}/7357_2.png,False,1
15144,LukaszJ,Lukasz Janiec,https://avatars.discourse-cdn.com/v4/letter/l/50afbb/{size}.png,False,0
15181,gmgm1,GMGM,https://avatars.discourse-cdn.com/v4/letter/g/a183cd/{size}.png,False,0
11374,UI369,Matt,https://avatars.discourse-cdn.com/v4/letter/u/5daacb/{size}.png,False,1
7308,DisruptionJoe,Disruption Joe,/user_avatar/forum.arbitrum.foundation/disruptionjoe/{size}/1084_2.png,False,2
5315,Boiler,,/user_avatar/forum.arbitrum.foundation/boiler/{size}/5607_2.png,False,2
2248,Britt,,/user_avatar/forum.arbitrum.foundation/britt/{size}/4856_2.png,False,2
15145,carrotlu,,https://avatars.discourse-cdn.com/v4/letter/c/f6c823/{size}.png,False,0
13491,SavvyDAO,Savvy DAO,/user_avatar/forum.arbitrum.foundation/savvydao/{size}/4578_2.png,False,2
11605,ispeaknerd,iSpeakNerd,/user_avatar/forum.arbitrum.foundation/ispeaknerd/{size}/2336_2.png,False,1
12166,pedrob,pedro,/user_avatar/forum.arbitrum.foundation/pedrob/{size}/4910_2.png,False,2
12974,Tenzent,Yoshua,/user_avatar/forum.arbitrum.foundation/tenzent/{size}/3842_2.png,False,2
12438,corey,Corey,/user_avatar/forum.arbitrum.foundation/corey/{size}/3250_2.png,False,2
14118,federalInformant,fi,/user_avatar/forum.arbitrum.foundation/federalinformant/{size}/5328_2.png,False,1
12550,brisket,,https://avatars.discourse-cdn.com/v4/letter/b/c77e96/{size}.png,False,2
11927,jerame20,Jeremy,/user_avatar/forum.arbitrum.foundation/jerame20/{size}/2987_2.png,False,2
14254,ddwchen,Diana,/user_avatar/forum.arbitrum.foundation/ddwchen/{size}/5466_2.png,False,1
14312,charlesfreeborn,Charles Freeborn,/user_avatar/forum.arbitrum.foundation/charlesfreeborn/{size}/5556_2.png,False,2
12048,Blueweb,Chain_L,/user_avatar/forum.arbitrum.foundation/blueweb/{size}/6133_2.png,False,2
12134,Euphoria,,/user_avatar/forum.arbitrum.foundation/euphoria/{size}/5658_2.png,False,2
11844,Penpie,Penpie,https://avatars.discourse-cdn.com/v4/letter/p/57b2e6/{size}.png,False,2
12436,Vaultka,Vaultka,/user_avatar/forum.arbitrum.foundation/vaultka/{size}/3249_2.png,False,2
15161,Erosen,Sen,https://avatars.discourse-cdn.com/v4/letter/e/b487fb/{size}.png,False,1
15128,gautruc,Gau,/user_avatar/forum.arbitrum.foundation/gautruc/{size}/7733_2.png,False,0
14581,cupojoseph,,/user_avatar/forum.arbitrum.foundation/cupojoseph/{size}/6115_2.png,False,1
15072,robtg4,Robby Greenfield,https://avatars.discourse-cdn.com/v4/letter/r/df788c/{size}.png,False,0
14961,SFPmkt,,https://avatars.discourse-cdn.com/v4/letter/s/e47c2d/{size}.png,False,1
14430,Lexicon,,https://avatars.discourse-cdn.com/v4/letter/l/ac8455/{size}.png,False,1
14877,eden_Aark,eden_Aark,https://avatars.discourse-cdn.com/v4/letter/e/8e8cbc/{size}.png,False,1
12293,realdumbird,dumbird-MUX,/user_avatar/forum.arbitrum.foundation/realdumbird/{size}/3069_2.png,False,2
12501,Vertex_Protocol,Vertex,https://avatars.discourse-cdn.com/v4/letter/v/8c91f0/{size}.png,False,1
12821,majeststyle,,https://avatars.discourse-cdn.com/v4/letter/m/50afbb/{size}.png,False,1
12183,cliffton.eth,Cliff,/user_avatar/forum.arbitrum.foundation/cliffton.eth/{size}/2919_2.png,True,4
8089,Dog,Dog,/user_avatar/forum.arbitrum.foundation/dog/{size}/2564_2.png,False,2
12445,Romy,Romy,/user_avatar/forum.arbitrum.foundation/romy/{size}/3261_2.png,False,2
10426,defipm,0xCasio,/user_avatar/forum.arbitrum.foundation/defipm/{size}/2947_2.png,False,2
15018,Max_Plus,Max,/user_avatar/forum.arbitrum.foundation/max_plus/{size}/7124_2.png,False,0
15136,teechop,,https://avatars.discourse-cdn.com/v4/letter/t/6f9a4e/{size}.png,False,0
15135,Artem,Artem,https://avatars.discourse-cdn.com/v4/letter/a/f0a364/{size}.png,False,0
15171,Remember_the_name,Remember_the_name,https://avatars.discourse-cdn.com/v4/letter/r/f0a364/{size}.png,False,0
14930,ivangbi,ivangbi,/user_avatar/forum.arbitrum.foundation/ivangbi/{size}/6826_2.png,False,3
14870,amplice,amplice,/user_avatar/forum.arbitrum.foundation/amplice/{size}/6921_2.png,False,1
11980,apoorv9,Apoorv,/user_avatar/forum.arbitrum.foundation/apoorv9/{size}/3262_2.png,False,2
14981,SperaxDAO,Sperax,https://avatars.discourse-cdn.com/v4/letter/s/96bed5/{size}.png,False,1
15083,msaodh,cnaks,https://avatars.discourse-cdn.com/v4/letter/m/91b2a8/{size}.png,False,0
15087,matej221,Matej,https://avatars.discourse-cdn.com/v4/letter/m/c37758/{size}.png,False,0
15182,tylerpol,,https://avatars.discourse-cdn.com/v4/letter/t/e9c0ed/{size}.png,False,0
12943,syou_eqb,syou,https://avatars.discourse-cdn.com/v4/letter/s/eada6e/{size}.png,False,2
6702,kyponlee,,https://avatars.discourse-cdn.com/v4/letter/k/41988e/{size}.png,False,2
11821,flindy,,https://avatars.discourse-cdn.com/v4/letter/f/edb3f5/{size}.png,False,2
13187,farmer33,,https://avatars.discourse-cdn.com/v4/letter/f/cc9497/{size}.png,False,1
11996,imort,,/user_avatar/forum.arbitrum.foundation/imort/{size}/2689_2.png,False,2
14283,danielo,danielo - RnDAO,/user_avatar/forum.arbitrum.foundation/danielo/{size}/5539_2.png,False,2
11579,shawn16400,Shawn,/user_avatar/forum.arbitrum.foundation/shawn16400/{size}/2391_2.png,False,2
2455,GFXlabs,GFX Labs,/user_avatar/forum.arbitrum.foundation/gfxlabs/{size}/321_2.png,False,2
14197,lino,Lino,/user_avatar/forum.arbitrum.foundation/lino/{size}/6403_2.png,False,1
12711,strategicreserve,,/user_avatar/forum.arbitrum.foundation/strategicreserve/{size}/4350_2.png,False,2
12891,Neotokyocat,Steven T,/user_avatar/forum.arbitrum.foundation/neotokyocat/{size}/3966_2.png,False,1
12630,RadiantDAO,ArbitrumDAO,/user_avatar/forum.arbitrum.foundation/radiantdao/{size}/3407_2.png,False,1
12948,0xEliana,Eliana,/user_avatar/forum.arbitrum.foundation/0xeliana/{size}/6227_2.png,False,1
12946,0xStorm,Storm,https://avatars.discourse-cdn.com/v4/letter/0/bb73d2/{size}.png,False,0
12356,hung-vu,RadiantDAO Admin,/user_avatar/forum.arbitrum.foundation/hung-vu/{size}/6225_2.png,False,1
15035,Tex,Tex,/user_avatar/forum.arbitrum.foundation/tex/{size}/7164_2.png,False,0
12574,Frax.Finance,Nader Ghazvini,/user_avatar/forum.arbitrum.foundation/frax.finance/{size}/3396_2.png,False,1
12187,Shreddy,Shreddy,/user_avatar/forum.arbitrum.foundation/shreddy/{size}/2921_2.png,False,2
11963,anon_imos,,https://avatars.discourse-cdn.com/v4/letter/a/76d3ee/{size}.png,False,2
263,nach211,,https://avatars.discourse-cdn.com/v4/letter/n/e79b87/{size}.png,False,1
14162,coolhorsegirl,coolhorsegirl,/user_avatar/forum.arbitrum.foundation/coolhorsegirl/{size}/5368_2.png,False,1
11262,Saurabh,Saurabh,https://avatars.discourse-cdn.com/v4/letter/s/ee7513/{size}.png,False,2
7603,EynSoph,,/user_avatar/forum.arbitrum.foundation/eynsoph/{size}/1150_2.png,False,2
15162,clJoseph,Joseph,https://avatars.discourse-cdn.com/v4/letter/c/b38774/{size}.png,False,0
12589,Sushi,Sushi,/user_avatar/forum.arbitrum.foundation/sushi/{size}/3376_2.png,False,2
15111,KC123,KC123,https://avatars.discourse-cdn.com/v4/letter/k/d6d6ee/{size}.png,False,0
15113,GoldenNaim,GoldenNaim,/user_avatar/forum.arbitrum.foundation/goldennaim/{size}/7490_2.png,False,0
