User Id,Username,Name,Avtar Template,Moderator,Trust Level
7,Arbitrum,System,/user_avatar/forum.arbitrum.foundation/arbitrum/{size}/2693_2.png,True,4
13279,Sentenza,,https://avatars.discourse-cdn.com/v4/letter/s/f1d935/{size}.png,False,0
14000,Ligaya,Ligaya,https://avatars.discourse-cdn.com/v4/letter/l/87869e/{size}.png,False,1
12440,Djinn,Dan Peng,https://avatars.discourse-cdn.com/v4/letter/d/65b543/{size}.png,False,2
14229,cp0x,,/user_avatar/forum.arbitrum.foundation/cp0x/{size}/5455_2.png,False,2
14914,aepac,,/user_avatar/forum.arbitrum.foundation/aepac/{size}/6796_2.png,False,0
14852,thedereksmart,,/user_avatar/forum.arbitrum.foundation/thedereksmart/{size}/6627_2.png,False,1
15273,KivalS,Yaroslav,https://avatars.discourse-cdn.com/v4/letter/k/e0b2c6/{size}.png,False,0
11975,JoJo,,/user_avatar/forum.arbitrum.foundation/jojo/{size}/2666_2.png,False,2
14283,danielo,danielo - RnDAO,/user_avatar/forum.arbitrum.foundation/danielo/{size}/5539_2.png,False,2
8115,maxlomu,MaxLomu,/user_avatar/forum.arbitrum.foundation/maxlomu/{size}/1282_2.png,False,2
14312,charlesfreeborn,Charles Freeborn,/user_avatar/forum.arbitrum.foundation/charlesfreeborn/{size}/5556_2.png,False,2
15180,MeLLoN98,u/MeLLoN98,/user_avatar/forum.arbitrum.foundation/mellon98/{size}/7689_2.png,False,0
7486,dk3,DK from Premia,/user_avatar/forum.arbitrum.foundation/dk3/{size}/4808_2.png,False,2
11995,Sebix,,/user_avatar/forum.arbitrum.foundation/sebix/{size}/3219_2.png,False,2
336,tnorm,tnorm,/user_avatar/forum.arbitrum.foundation/tnorm/{size}/2054_2.png,False,2
13905,Immutablelawyer,Joseph,/user_avatar/forum.arbitrum.foundation/immutablelawyer/{size}/5157_2.png,False,2
12166,pedrob,pedro,/user_avatar/forum.arbitrum.foundation/pedrob/{size}/4910_2.png,False,2
14371,pfedprog,Pavel,/user_avatar/forum.arbitrum.foundation/pfedprog/{size}/5712_2.png,False,2
15121,kbw,kyle,https://avatars.discourse-cdn.com/v4/letter/k/f14d63/{size}.png,False,0
14668,blanklee,Blank@scattering.io,https://avatars.discourse-cdn.com/v4/letter/b/eb8c5e/{size}.png,False,1
14664,J-ayahuaska,Junior ,/user_avatar/forum.arbitrum.foundation/j-ayahuaska/{size}/6362_2.png,False,1
13765,elisafly,,/user_avatar/forum.arbitrum.foundation/elisafly/{size}/4935_2.png,False,1
14590,MinistroDolar,Ministro del Dolar | SEED Latam,/user_avatar/forum.arbitrum.foundation/ministrodolar/{size}/6167_2.png,False,2
14782,Arb4Ever,Forever,https://avatars.discourse-cdn.com/v4/letter/a/ed8c4c/{size}.png,False,1
14778,EventHorizonDAO,Event Horizon,/user_avatar/forum.arbitrum.foundation/eventhorizondao/{size}/6497_2.png,False,1
7308,DisruptionJoe,Disruption Joe,/user_avatar/forum.arbitrum.foundation/disruptionjoe/{size}/1084_2.png,False,2
