User Id,Username,Name,Avtar Template,Moderator,Trust Level
-1,system,system,/user_avatar/forum.arbitrum.foundation/system/{size}/1_2.png,True,4
10318,stonecoldpat,Patrick McCorry,/user_avatar/forum.arbitrum.foundation/stonecoldpat/{size}/1735_2.png,True,4
2329,BristolBlockchain,Bristol Blockchain Society,/user_avatar/forum.arbitrum.foundation/bristolblockchain/{size}/1311_2.png,False,2
8250,404DAO,404 DAO,/user_avatar/forum.arbitrum.foundation/404dao/{size}/1291_2.png,False,2
13882,ocandocrypto,,/user_avatar/forum.arbitrum.foundation/ocandocrypto/{size}/5015_2.png,False,2
1036,ruslanklinkov,suckmydiscoteque.eth,/user_avatar/forum.arbitrum.foundation/ruslanklinkov/{size}/5912_2.png,False,2
11589,Bobbay,Bobby,/user_avatar/forum.arbitrum.foundation/bobbay/{size}/5950_2.png,False,2
15191,AranaDigital,,/user_avatar/forum.arbitrum.foundation/aranadigital/{size}/7729_2.png,False,0
15187,farfel.eth,,/user_avatar/forum.arbitrum.foundation/farfel.eth/{size}/7756_2.png,False,1
13819,juanbug,Juanbug,/user_avatar/forum.arbitrum.foundation/juanbug/{size}/4936_2.png,False,2
13873,AbdullahUmar,,/user_avatar/forum.arbitrum.foundation/abdullahumar/{size}/5025_2.png,False,2
4343,gauntlet,Gauntlet Team,/user_avatar/forum.arbitrum.foundation/gauntlet/{size}/3140_2.png,False,2
2173,hiringdevs.eth,George,https://avatars.discourse-cdn.com/v4/letter/h/f475e1/{size}.png,False,2
14682,PGov,PGov,https://avatars.discourse-cdn.com/v4/letter/p/dbc845/{size}.png,False,1
12183,cliffton.eth,Cliff,/user_avatar/forum.arbitrum.foundation/cliffton.eth/{size}/2919_2.png,True,4
14229,cp0x,,/user_avatar/forum.arbitrum.foundation/cp0x/{size}/5455_2.png,False,2
13491,SavvyDAO,Savvy DAO,/user_avatar/forum.arbitrum.foundation/savvydao/{size}/4578_2.png,False,2
2455,GFXlabs,GFX Labs,/user_avatar/forum.arbitrum.foundation/gfxlabs/{size}/321_2.png,False,2
11137,Fav_Truffe,Hats Finance,/user_avatar/forum.arbitrum.foundation/fav_truffe/{size}/2059_2.png,False,1
12401,meyaf320219,ChronicFatigue,/user_avatar/forum.arbitrum.foundation/meyaf320219/{size}/4549_2.png,False,1
12648,sahijeevan,sahijeevan,/user_avatar/forum.arbitrum.foundation/sahijeevan/{size}/3415_2.png,False,2
14197,lino,Lino,/user_avatar/forum.arbitrum.foundation/lino/{size}/6403_2.png,False,1
12710,SEEDGov,SEED Latam Arbitrum,/user_avatar/forum.arbitrum.foundation/seedgov/{size}/3543_2.png,False,2
1410,duokongcrypto,丰密kuiqian,/user_avatar/forum.arbitrum.foundation/duokongcrypto/{size}/5472_2.png,False,2
14283,danielo,danielo - RnDAO,/user_avatar/forum.arbitrum.foundation/danielo/{size}/5539_2.png,False,2
14757,allen_muhani,Allen Muhani,/user_avatar/forum.arbitrum.foundation/allen_muhani/{size}/6701_2.png,False,1
14447,ChrisB,,/user_avatar/forum.arbitrum.foundation/chrisb/{size}/5925_2.png,False,1
12026,Sinkas,Anastassis Oikonomopoulos,/user_avatar/forum.arbitrum.foundation/sinkas/{size}/2958_2.png,False,2
11549,Tekr0x.eth,Tekr0x.eth,/user_avatar/forum.arbitrum.foundation/tekr0x.eth/{size}/2289_2.png,False,2
1482,LiviuC,LiviuC,/user_avatar/forum.arbitrum.foundation/liviuc/{size}/186_2.png,False,1
10952,CryptoReuMD,,/user_avatar/forum.arbitrum.foundation/cryptoreumd/{size}/2747_2.png,False,2
11463,Damboy,Damboy,https://avatars.discourse-cdn.com/v4/letter/d/35a633/{size}.png,False,2
7486,dk3,DK from Premia,/user_avatar/forum.arbitrum.foundation/dk3/{size}/4808_2.png,False,2
12982,WinVerse,_winverse.eth,/user_avatar/forum.arbitrum.foundation/winverse/{size}/3858_2.png,False,2
798,Larva,Larva,/user_avatar/forum.arbitrum.foundation/larva/{size}/1896_2.png,False,2
11941,Pepperoni_Jo3,Pepperoni Jo3,/user_avatar/forum.arbitrum.foundation/pepperoni_jo3/{size}/3198_2.png,False,2
5727,Bob-Rossi,Bob Rossi,/user_avatar/forum.arbitrum.foundation/bob-rossi/{size}/873_2.png,False,2
4297,mcfly,mcfly,/user_avatar/forum.arbitrum.foundation/mcfly/{size}/3099_2.png,False,2
6449,Mehdi_eth,Mehdi,/user_avatar/forum.arbitrum.foundation/mehdi_eth/{size}/6510_2.png,False,2
7308,DisruptionJoe,Disruption Joe,/user_avatar/forum.arbitrum.foundation/disruptionjoe/{size}/1084_2.png,False,2
14695,RMan,R,https://avatars.discourse-cdn.com/v4/letter/r/96bed5/{size}.png,False,1
14295,JupiterBlock,,/user_avatar/forum.arbitrum.foundation/jupiterblock/{size}/5541_2.png,False,1
6319,Matt_StableLab,Matt,/user_avatar/forum.arbitrum.foundation/matt_stablelab/{size}/921_2.png,False,3
13864,karpatkey,karpatkey,/user_avatar/forum.arbitrum.foundation/karpatkey/{size}/4994_2.png,False,2
10426,defipm,0xCasio,/user_avatar/forum.arbitrum.foundation/defipm/{size}/2947_2.png,False,2
4177,cattin,Cattin | SEEDLatam,/user_avatar/forum.arbitrum.foundation/cattin/{size}/2605_2.png,False,2
11210,brichis,Bricia Guzman,https://avatars.discourse-cdn.com/v4/letter/b/3d9bf3/{size}.png,False,1
13823,lbsblockchain,,/user_avatar/forum.arbitrum.foundation/lbsblockchain/{size}/4944_2.png,False,1
14371,pfedprog,Pavel,/user_avatar/forum.arbitrum.foundation/pfedprog/{size}/5712_2.png,False,2
11975,JoJo,,/user_avatar/forum.arbitrum.foundation/jojo/{size}/2666_2.png,False,2
13905,Immutablelawyer,Joseph,/user_avatar/forum.arbitrum.foundation/immutablelawyer/{size}/5157_2.png,False,2
12361,Tane,Tané,/user_avatar/forum.arbitrum.foundation/tane/{size}/3187_2.png,False,2
7911,Mysterymen,Mysterymen,/user_avatar/forum.arbitrum.foundation/mysterymen/{size}/4208_2.png,False,1
12585,SeriousTaylor,Taylor,/user_avatar/forum.arbitrum.foundation/serioustaylor/{size}/3434_2.png,False,2
12134,Euphoria,,/user_avatar/forum.arbitrum.foundation/euphoria/{size}/5658_2.png,False,2
14341,godwin,Godwin,https://avatars.discourse-cdn.com/v4/letter/g/e9bcb4/{size}.png,False,0
11262,Saurabh,Saurabh,https://avatars.discourse-cdn.com/v4/letter/s/ee7513/{size}.png,False,2
9381,jacksanyoda,JackSanYoda | 404 DAO,/user_avatar/forum.arbitrum.foundation/jacksanyoda/{size}/5193_2.png,False,2
11201,jengajojo,jengajojo,/user_avatar/forum.arbitrum.foundation/jengajojo/{size}/2836_2.png,False,2
14458,KarlaGod,KarlaGod,/user_avatar/forum.arbitrum.foundation/karlagod/{size}/5931_2.png,False,1
7,Arbitrum,System,/user_avatar/forum.arbitrum.foundation/arbitrum/{size}/2693_2.png,True,4
8705,chngln,Cihan,https://avatars.discourse-cdn.com/v4/letter/c/839c29/{size}.png,False,0
10960,pras777,Prazetyo,https://avatars.discourse-cdn.com/v4/letter/p/e47c2d/{size}.png,False,0
1137,PennBlockchain,FranklinDAO (Prev. Penn Blockchain),/user_avatar/forum.arbitrum.foundation/pennblockchain/{size}/2030_2.png,False,2
9286,ZER8,ZER8,/user_avatar/forum.arbitrum.foundation/zer8/{size}/2285_2.png,False,2
5315,Boiler,,/user_avatar/forum.arbitrum.foundation/boiler/{size}/5607_2.png,False,2
14465,Cristinavlous,Cristina Loustaunau,https://avatars.discourse-cdn.com/v4/letter/c/a4c791/{size}.png,False,0
8216,TreasureDAO,Treasure,/user_avatar/forum.arbitrum.foundation/treasuredao/{size}/2701_2.png,False,2
19,Saludiego201,Diego Ortiz,/user_avatar/forum.arbitrum.foundation/saludiego201/{size}/10_2.png,False,2
9521,StillVany,Ivan,/user_avatar/forum.arbitrum.foundation/stillvany/{size}/1733_2.png,False,1
3864,Aurelius,,/user_avatar/forum.arbitrum.foundation/aurelius/{size}/539_2.png,False,1
1123,Izkillaz,Israel Maningo Jr.,/user_avatar/forum.arbitrum.foundation/izkillaz/{size}/139_2.png,False,1
10702,Sparky-Faker,,/user_avatar/forum.arbitrum.foundation/sparky-faker/{size}/2403_2.png,False,2
11579,shawn16400,Shawn,/user_avatar/forum.arbitrum.foundation/shawn16400/{size}/2391_2.png,False,2
13907,w3citizenguide,,/user_avatar/forum.arbitrum.foundation/w3citizenguide/{size}/5599_2.png,False,0
14049,DAODude,Kazzy Tamura,/user_avatar/forum.arbitrum.foundation/daodude/{size}/5203_2.png,False,1
11600,thedevanshmehta,Devansh Mehta,/user_avatar/forum.arbitrum.foundation/thedevanshmehta/{size}/2334_2.png,False,2
11372,JasonW,Jason Windawi | Alchemy,https://avatars.discourse-cdn.com/v4/letter/j/e47c2d/{size}.png,False,1
7988,krst,Krzysztof 'krst' Urbański L2BEAT 💗,/user_avatar/forum.arbitrum.foundation/krst/{size}/1357_2.png,False,2
9244,satoshininja,imraz,https://avatars.discourse-cdn.com/v4/letter/s/87869e/{size}.png,False,1
14297,skyfoxx,The SkyFoxx,https://avatars.discourse-cdn.com/v4/letter/s/df788c/{size}.png,False,0
13934,Web3Wanderer,Krista Kim,/user_avatar/forum.arbitrum.foundation/web3wanderer/{size}/5543_2.png,False,0
336,tnorm,tnorm,/user_avatar/forum.arbitrum.foundation/tnorm/{size}/2054_2.png,False,2
11051,K_API3,Ben,https://avatars.discourse-cdn.com/v4/letter/k/4da419/{size}.png,False,2
11995,Sebix,,/user_avatar/forum.arbitrum.foundation/sebix/{size}/3219_2.png,False,2
12431,medocons,Medocons,/user_avatar/forum.arbitrum.foundation/medocons/{size}/3553_2.png,False,2
4461,axlvaz_SEEDLATAM.eth,Axlvaz,/user_avatar/forum.arbitrum.foundation/axlvaz_seedlatam.eth/{size}/2601_2.png,False,2
7279,Cole_404,Cole Schendl,https://avatars.discourse-cdn.com/v4/letter/c/6a8cbe/{size}.png,False,2
11742,Sixty,Brian Nderumaki,/user_avatar/forum.arbitrum.foundation/sixty/{size}/2436_2.png,False,2
27,rafso,Raf Solari,https://avatars.discourse-cdn.com/v4/letter/r/8797f3/{size}.png,False,2
