User Id,Username,Name,Avtar Template,Moderator,Trust Level
7,Arbitrum,System,/user_avatar/forum.arbitrum.foundation/arbitrum/{size}/2693_2.png,True,4
14072,Maltiba,Habib Adam Maltiba,/user_avatar/forum.arbitrum.foundation/maltiba/{size}/5255_2.png,False,1
7308,DisruptionJoe,Disruption Joe,/user_avatar/forum.arbitrum.foundation/disruptionjoe/{size}/1084_2.png,False,2
7390,danielM,danielM,/user_avatar/forum.arbitrum.foundation/danielm/{size}/5656_2.png,False,1
10952,CryptoReuMD,,/user_avatar/forum.arbitrum.foundation/cryptoreumd/{size}/2747_2.png,False,2
-1,system,system,/user_avatar/forum.arbitrum.foundation/system/{size}/1_2.png,True,4
13491,SavvyDAO,Savvy DAO,/user_avatar/forum.arbitrum.foundation/savvydao/{size}/4578_2.png,False,2
12438,corey,Corey,/user_avatar/forum.arbitrum.foundation/corey/{size}/3250_2.png,False,2
12550,brisket,,https://avatars.discourse-cdn.com/v4/letter/b/c77e96/{size}.png,False,2
12691,Aiham.eth,Aiham - Silo Finance,https://avatars.discourse-cdn.com/v4/letter/a/5fc32e/{size}.png,False,2
12496,BlueClarity,Blue Clarity,/user_avatar/forum.arbitrum.foundation/blueclarity/{size}/3344_2.png,False,2
14734,Gonzacolo,Gonzalo,/user_avatar/forum.arbitrum.foundation/gonzacolo/{size}/6503_2.png,False,1
14229,cp0x,,/user_avatar/forum.arbitrum.foundation/cp0x/{size}/5455_2.png,False,2
4807,Frisson,Frisson,/user_avatar/forum.arbitrum.foundation/frisson/{size}/2288_2.png,False,2
15233,imatomster,Tommy,https://avatars.discourse-cdn.com/v4/letter/i/f05b48/{size}.png,False,0
11975,JoJo,,/user_avatar/forum.arbitrum.foundation/jojo/{size}/2666_2.png,False,2
1036,ruslanklinkov,suckmydiscoteque.eth,/user_avatar/forum.arbitrum.foundation/ruslanklinkov/{size}/5912_2.png,False,2
13752,englandzz,England | Curia,/user_avatar/forum.arbitrum.foundation/englandzz/{size}/4817_2.png,False,2
10393,MattOnChain,Matt Fiebach,/user_avatar/forum.arbitrum.foundation/mattonchain/{size}/1761_2.png,False,2
12361,Tane,Tané,/user_avatar/forum.arbitrum.foundation/tane/{size}/3187_2.png,False,2
4461,axlvaz_SEEDLATAM.eth,Axlvaz,/user_avatar/forum.arbitrum.foundation/axlvaz_seedlatam.eth/{size}/2601_2.png,False,2
12295,Srijith-Questbook,Srijith,https://avatars.discourse-cdn.com/v4/letter/s/90db22/{size}.png,False,2
13978,SmolPhil,Philip,/user_avatar/forum.arbitrum.foundation/smolphil/{size}/5415_2.png,False,2
7735,Curia,Curia,/user_avatar/forum.arbitrum.foundation/curia/{size}/7751_2.png,False,2
12440,Djinn,Dan Peng,https://avatars.discourse-cdn.com/v4/letter/d/65b543/{size}.png,False,2
14782,Arb4Ever,Eternal,https://avatars.discourse-cdn.com/v4/letter/a/ed8c4c/{size}.png,False,1
14914,aepac,,/user_avatar/forum.arbitrum.foundation/aepac/{size}/6796_2.png,False,0
14852,thedereksmart,,/user_avatar/forum.arbitrum.foundation/thedereksmart/{size}/6627_2.png,False,1
15260,FrogHybrid,,https://avatars.discourse-cdn.com/v4/letter/f/e56c9b/{size}.png,False,0
14757,allen_muhani,Allen Muhani,/user_avatar/forum.arbitrum.foundation/allen_muhani/{size}/6701_2.png,False,1
11579,shawn16400,Shawn,/user_avatar/forum.arbitrum.foundation/shawn16400/{size}/2391_2.png,False,2
13882,ocandocrypto,,/user_avatar/forum.arbitrum.foundation/ocandocrypto/{size}/5015_2.png,False,2
14283,danielo,danielo - RnDAO,/user_avatar/forum.arbitrum.foundation/danielo/{size}/5539_2.png,False,2
8115,maxlomu,MaxLomu,/user_avatar/forum.arbitrum.foundation/maxlomu/{size}/1282_2.png,False,2
7279,Cole_404,Cole Schendl,https://avatars.discourse-cdn.com/v4/letter/c/6a8cbe/{size}.png,False,2
14860,drllau,Lawrence Lau,https://avatars.discourse-cdn.com/v4/letter/d/7ea924/{size}.png,False,1
8314,PrincetonBlockchain,Princeton Blockchain Club (PBC),/user_avatar/forum.arbitrum.foundation/princetonblockchain/{size}/1312_2.png,False,2
5727,Bob-Rossi,Bob Rossi,/user_avatar/forum.arbitrum.foundation/bob-rossi/{size}/873_2.png,False,2
10364,fred,,https://avatars.discourse-cdn.com/v4/letter/f/db5fbb/{size}.png,True,4
15187,farfel.eth,,/user_avatar/forum.arbitrum.foundation/farfel.eth/{size}/7756_2.png,False,1
15179,GrangerIncident,TGranger,/user_avatar/forum.arbitrum.foundation/grangerincident/{size}/7674_2.png,False,1
14778,EventHorizonDAO,Event Horizon,/user_avatar/forum.arbitrum.foundation/eventhorizondao/{size}/6497_2.png,False,1
